"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CLDN4",7.31856120244058e-128,0.949553203811581,0.947,0.52,1.63452745895308e-123,"Epithelial_C1","CLDN4",0.427
"SLPI",2.0152025846949e-125,1.16037527972186,0.961,0.581,4.50075345265759e-121,"Epithelial_C1","SLPI",0.38
"WFDC2",5.00511279729798e-124,0.947518943107515,0.999,0.814,1.11784189214853e-119,"Epithelial_C1","WFDC2",0.185
"ELF3",4.3356875265805e-121,0.807160903465954,0.948,0.485,9.68332452186489e-117,"Epithelial_C1","ELF3",0.463
"MUC1",3.87264524406591e-120,0.755202565638716,0.936,0.468,8.6491658880968e-116,"Epithelial_C1","MUC1",0.468
"FXYD3",1.37068128504648e-115,0.617254681505482,0.777,0.263,3.06127958202281e-111,"Epithelial_C1","FXYD3",0.514
"C19orf33",4.36030051177231e-102,0.579518659592634,0.839,0.339,9.73829516299227e-98,"Epithelial_C1","C19orf33",0.5
"KRT7",1.06075444002846e-100,0.708258229623438,0.944,0.476,2.36908896635956e-96,"Epithelial_C1","KRT7",0.468
"TACSTD2",2.16292730571999e-100,0.916302294719552,0.842,0.366,4.83068184459503e-96,"Epithelial_C1","TACSTD2",0.476
"CP",2.77763907335853e-97,0.741530790448963,0.786,0.33,6.20357910643893e-93,"Epithelial_C1","CP",0.456
"MT-ND2",7.86270910532992e-97,0.832236287589083,0.962,0.741,1.75605745158439e-92,"Epithelial_C1","MT-ND2",0.221
"KCNK15",9.37338907366421e-97,0.566171143436086,0.739,0.278,2.09345271571216e-92,"Epithelial_C1","KCNK15",0.461
"VTCN1",4.10222822598515e-96,0.572658439198376,0.707,0.23,9.16191651991523e-92,"Epithelial_C1","VTCN1",0.477
"MT-CO1",1.67702914102832e-93,0.822811509564304,0.974,0.829,3.74547688357264e-89,"Epithelial_C1","MT-CO1",0.145
"CLU",3.26043856792707e-93,0.890882139311896,0.9,0.507,7.28186349760832e-89,"Epithelial_C1","CLU",0.393
"CD9",4.05372544308426e-93,0.708391456428851,0.963,0.676,9.05359040458438e-89,"Epithelial_C1","CD9",0.287
"MT-ND5",7.91883256683561e-93,0.748267111254771,0.932,0.592,1.76859206547706e-88,"Epithelial_C1","MT-ND5",0.34
"MSLN",1.64274497985887e-92,0.72011033346952,0.718,0.263,3.6689066380168e-88,"Epithelial_C1","MSLN",0.455
"SPINT2",8.74590067860801e-92,0.632699169396027,0.982,0.573,1.95330945756031e-87,"Epithelial_C1","SPINT2",0.409
"CLDN3",1.13496154150196e-90,0.740658189968923,0.969,0.586,2.53482310679049e-86,"Epithelial_C1","CLDN3",0.383
"EPCAM",3.52169891730179e-90,0.666498583917336,0.967,0.541,7.86536236190182e-86,"Epithelial_C1","EPCAM",0.426
"MT-ND1",1.6063579766165e-89,0.793505096282005,0.968,0.814,3.58763990497529e-85,"Epithelial_C1","MT-ND1",0.154
"MUC16",2.9515565765135e-89,0.627606591923937,0.662,0.196,6.59200645798524e-85,"Epithelial_C1","MUC16",0.466
"CLDN7",4.65645923330249e-89,0.612224361788437,0.938,0.46,1.03997360516578e-84,"Epithelial_C1","CLDN7",0.478
"BCAM",4.72349051461811e-87,0.645837191079186,0.887,0.421,1.05494437153481e-82,"Epithelial_C1","BCAM",0.466
"MT-CO2",6.07776985331679e-86,0.761503352540719,0.971,0.806,1.35740911903977e-81,"Epithelial_C1","MT-CO2",0.165
"KRT19",1.47176008925711e-85,0.679793925796738,0.962,0.593,3.28702898334683e-81,"Epithelial_C1","KRT19",0.369
"MT-ND3",1.57127591043924e-85,0.772259079372689,0.959,0.736,3.509287618375e-81,"Epithelial_C1","MT-ND3",0.223
"NEAT1",3.11637673662725e-84,0.909862867440852,0.931,0.815,6.9601158035833e-80,"Epithelial_C1","NEAT1",0.116
"MT-ND4",2.50914277196801e-81,0.723318991696647,0.975,0.798,5.60391946691335e-77,"Epithelial_C1","MT-ND4",0.177
"LCN2",2.83760736354694e-79,1.01752254496055,0.707,0.289,6.33751228574574e-75,"Epithelial_C1","LCN2",0.418
"MT-ND4L",6.51622750387605e-79,0.545400720962045,0.876,0.443,1.45533425071568e-74,"Epithelial_C1","MT-ND4L",0.433
"SLC34A2",1.92476806033953e-77,0.738576070666214,0.657,0.232,4.29877698596231e-73,"Epithelial_C1","SLC34A2",0.425
"MT-CYB",2.79755678945713e-77,0.716710491735105,0.967,0.769,6.24806333357354e-73,"Epithelial_C1","MT-CYB",0.198
"MT-CO3",1.94361230643006e-75,0.701471376504618,0.972,0.855,4.3408637251809e-71,"Epithelial_C1","MT-CO3",0.117
"SLC40A1",5.20545056023572e-75,0.803427800927861,0.702,0.3,1.16258532812305e-70,"Epithelial_C1","SLC40A1",0.402
"KLK7",1.71085160176819e-74,0.64771432143377,0.647,0.225,3.82101596738908e-70,"Epithelial_C1","KLK7",0.422
"MT-ATP6",1.62943663433525e-73,0.688743436786465,0.976,0.864,3.63918377912434e-69,"Epithelial_C1","MT-ATP6",0.112
"ZFP36L2",8.17462188286917e-72,0.61892371317003,0.877,0.52,1.82572005132e-67,"Epithelial_C1","ZFP36L2",0.357
"LAPTM4B",5.26083941313447e-71,0.542373396718204,0.94,0.527,1.17495587452945e-66,"Epithelial_C1","LAPTM4B",0.413
"S100A1",1.09925407972579e-67,0.562208790771633,0.8,0.377,2.45507406165959e-63,"Epithelial_C1","S100A1",0.423
"RARRES3",4.1286180885511e-67,0.571532001524326,0.73,0.333,9.22085563897003e-63,"Epithelial_C1","RARRES3",0.397
"HLA-DRA",2.49664005417715e-66,0.629639775685336,0.863,0.475,5.57599589699924e-62,"Epithelial_C1","HLA-DRA",0.388
"CD74",1.63014497685932e-65,0.68799778868019,0.932,0.579,3.6407657913176e-61,"Epithelial_C1","CD74",0.353
"ITGB8",2.96969968171032e-63,0.509720554649001,0.714,0.331,6.63252726913183e-59,"Epithelial_C1","ITGB8",0.383
"PDZK1IP1",1.08871221031435e-60,0.523190748981856,0.605,0.226,2.43152985051606e-56,"Epithelial_C1","PDZK1IP1",0.379
"TNFAIP2",2.78970098312844e-59,0.541054598412525,0.751,0.391,6.23051817571905e-55,"Epithelial_C1","TNFAIP2",0.36
"SAT1",3.568516223954e-57,0.5223019426405,0.981,0.847,7.96992413457886e-53,"Epithelial_C1","SAT1",0.134
"TXNIP",1.40254675170925e-56,0.648249030911484,0.679,0.323,3.13244791526744e-52,"Epithelial_C1","TXNIP",0.356
"TSPAN1",1.57469390646052e-55,0.512551418802948,0.429,0.114,3.51692137068892e-51,"Epithelial_C1","TSPAN1",0.315
"CCNL1",6.98118165528621e-55,0.526291374430682,0.894,0.599,1.55917711089162e-50,"Epithelial_C1","CCNL1",0.295
"GPRC5A",1.52583734042326e-52,0.558930800582735,0.458,0.141,3.40780511610131e-48,"Epithelial_C1","GPRC5A",0.317
"ATF3",1.35216714599321e-47,0.613702245729531,0.823,0.547,3.01993010386123e-43,"Epithelial_C1","ATF3",0.276
"TCIM",1.30406308736542e-43,0.739854389148237,0.535,0.242,2.91249449932194e-39,"Epithelial_C1","TCIM",0.293
"AC007906.2",1.61229092419002e-43,0.59277086000917,0.487,0.196,3.60089055008599e-39,"Epithelial_C1","AC007906.2",0.291
"SCGB2A1",4.9216286311633e-42,0.784641419227072,0.555,0.247,1.09919653848401e-37,"Epithelial_C1","SCGB2A1",0.308
"MMP7",1.17876078040897e-41,0.805396220383483,0.654,0.35,2.6326443269654e-37,"Epithelial_C1","MMP7",0.304
"ADIRF",1.82271202838206e-40,0.547770014134554,0.513,0.211,4.0708450441885e-36,"Epithelial_C1","ADIRF",0.302
"C3",3.41085863974699e-38,0.630811906606056,0.565,0.299,7.61781168601093e-34,"Epithelial_C1","C3",0.266
"DAPL1",5.15248876668571e-36,0.55758287411572,0.553,0.256,1.15075684115159e-31,"Epithelial_C1","DAPL1",0.297
"SOX4",9.60102589328562e-33,0.501604364186907,0.847,0.632,2.14429312300641e-28,"Epithelial_C1","SOX4",0.215
"CRYAB",7.09918644140866e-32,0.892675741628743,0.707,0.48,1.58553229982421e-27,"Epithelial_C1","CRYAB",0.227
"S100A9",3.00622696720722e-30,0.995269478118812,0.435,0.2,6.71410730856059e-26,"Epithelial_C1","S100A9",0.235
"C2orf88",4.84784025816591e-30,0.50198383915847,0.512,0.264,1.08271664325878e-25,"Epithelial_C1","C2orf88",0.248
"SCGB1D2",2.59009064972733e-29,0.574288935324026,0.378,0.149,5.78470845710102e-25,"Epithelial_C1","SCGB1D2",0.229
"TFF3",1.52268176969193e-15,0.567094879906305,0.3,0.146,3.40075746442995e-11,"Epithelial_C1","TFF3",0.154
"SST",7.18508519612796e-13,0.628024624971113,0.252,0.122,1.60471692770322e-08,"Epithelial_C1","SST",0.13
"KRT17",2.06894172681362e-11,0.571097672193627,0.408,0.267,4.62077445266554e-07,"Epithelial_C1","KRT17",0.141
"BIRC5",6.43117239861705e-215,0.997863872915859,0.702,0.07,1.43633804350713e-210,"Epithelial_C2","BIRC5",0.632
"MKI67",8.44094446759262e-197,1.2575805793594,0.644,0.057,1.88520053739214e-192,"Epithelial_C2","MKI67",0.587
"UBE2C",6.53751878572004e-186,1.53452717823687,0.723,0.114,1.46008944560271e-181,"Epithelial_C2","UBE2C",0.609
"TOP2A",6.92543160142335e-175,1.1120032842018,0.563,0.044,1.54672589386189e-170,"Epithelial_C2","TOP2A",0.519
"PBK",6.65098331857883e-173,0.648632397231152,0.53,0.032,1.4854306143714e-168,"Epithelial_C2","PBK",0.498
"NUSAP1",5.69122246910671e-159,0.768469036449302,0.509,0.037,1.27107762625029e-154,"Epithelial_C2","NUSAP1",0.472
"FOXM1",1.60438259891588e-158,0.661608413458493,0.581,0.065,3.58322809641872e-154,"Epithelial_C2","FOXM1",0.516
"CENPF",6.36851766965306e-158,1.33058347364242,0.663,0.114,1.42234473634031e-153,"Epithelial_C2","CENPF",0.549
"NUF2",8.34090195664103e-158,0.562435230054029,0.481,0.028,1.86285704299621e-153,"Epithelial_C2","NUF2",0.453
"ASPM",3.94794940257495e-153,0.862801037249181,0.54,0.053,8.8173501957109e-149,"Epithelial_C2","ASPM",0.487
"TPX2",5.33022806171082e-153,0.90578448569527,0.584,0.076,1.19045313530249e-148,"Epithelial_C2","TPX2",0.508
"CDKN3",1.93580559351895e-152,0.995312659330667,0.619,0.094,4.32342821256521e-148,"Epithelial_C2","CDKN3",0.525
"CDC20",5.49348781847174e-152,0.885412600875855,0.521,0.047,1.22691556937748e-147,"Epithelial_C2","CDC20",0.474
"CCNB2",3.34081001673083e-150,0.656867095359727,0.535,0.055,7.46136509136663e-146,"Epithelial_C2","CCNB2",0.48
"CEP55",5.66146388014868e-149,0.53473047650724,0.437,0.02,1.26443134299241e-144,"Epithelial_C2","CEP55",0.417
"CENPA",6.99312675554106e-147,0.546776864652505,0.428,0.019,1.56184492958254e-142,"Epithelial_C2","CENPA",0.409
"CDK1",1.26031992504895e-146,0.964998541769788,0.584,0.083,2.81479852060433e-142,"Epithelial_C2","CDK1",0.501
"MYBL2",3.99377272444287e-145,0.567052035158982,0.526,0.052,8.91969200277071e-141,"Epithelial_C2","MYBL2",0.474
"CDCA3",4.91578564024758e-140,0.53198158327579,0.437,0.026,1.09789156489289e-135,"Epithelial_C2","CDCA3",0.411
"TUBA1B",1.24113215984747e-139,1.20212510643064,0.963,0.916,2.77194456580334e-135,"Epithelial_C2","TUBA1B",0.0469999999999999
"PCLAF",1.70591049919393e-132,0.934531966698159,0.584,0.095,3.80998050889971e-128,"Epithelial_C2","PCLAF",0.489
"HMMR",2.9136722942224e-132,0.572188149833571,0.423,0.028,6.50739570191631e-128,"Epithelial_C2","HMMR",0.395
"RAD51AP1",7.04740258069129e-131,0.634547332457807,0.577,0.091,1.57396689237159e-126,"Epithelial_C2","RAD51AP1",0.486
"PRC1",3.23883983810076e-130,0.85800952640234,0.563,0.092,7.23362489441423e-126,"Epithelial_C2","PRC1",0.471
"DLGAP5",3.4937918089871e-126,0.579775241407131,0.398,0.024,7.80303462619179e-122,"Epithelial_C2","DLGAP5",0.374
"TK1",1.4837254680216e-124,0.962796505084933,0.656,0.159,3.31375246027944e-120,"Epithelial_C2","TK1",0.497
"HMGB1",1.84993532787327e-123,0.921029533810809,0.958,0.966,4.13164556127217e-119,"Epithelial_C2","HMGB1",-0.00800000000000001
"TROAP",3.12991271510854e-120,0.535447926787891,0.5,0.065,6.99034705792342e-116,"Epithelial_C2","TROAP",0.435
"HMGB2",1.35195919130631e-119,1.50686469464579,0.828,0.476,3.01946565786352e-115,"Epithelial_C2","HMGB2",0.352
"CENPW",2.41679655426447e-116,1.10932149630787,0.772,0.309,5.39767342429427e-112,"Epithelial_C2","CENPW",0.463
"MAD2L1",3.29487029693308e-110,0.640724447989647,0.593,0.136,7.35876332117033e-106,"Epithelial_C2","MAD2L1",0.457
"PTTG1",2.51313337494671e-107,1.45559735940532,0.77,0.351,5.61283207960598e-103,"Epithelial_C2","PTTG1",0.419
"ZWINT",5.26023366463616e-100,0.601312259962222,0.584,0.151,1.17482058665984e-95,"Epithelial_C2","ZWINT",0.433
"CENPN",8.2201350469338e-93,0.512667754323954,0.581,0.154,1.8358849613822e-88,"Epithelial_C2","CENPN",0.427
"RRM2",7.77320515260402e-91,0.50344547331475,0.363,0.04,1.73606763878258e-86,"Epithelial_C2","RRM2",0.323
"STMN1",1.49548487210391e-89,1.09185847190297,0.83,0.603,3.34001591335687e-85,"Epithelial_C2","STMN1",0.227
"TYMS",2.23490970243663e-89,0.919464738740434,0.591,0.168,4.99144732942197e-85,"Epithelial_C2","TYMS",0.423
"H2AFZ",5.54156599387943e-87,1.20268408668385,0.9,0.866,1.23765334907303e-82,"Epithelial_C2","H2AFZ",0.034
"CKS1B",5.77272886946975e-84,1.09655709479257,0.816,0.58,1.28928126570737e-79,"Epithelial_C2","CKS1B",0.236
"CCNB1",7.05085956873596e-81,0.752252631507184,0.54,0.159,1.57473897608149e-76,"Epithelial_C2","CCNB1",0.381
"UBE2T",5.6875873771796e-78,0.655649356208438,0.612,0.235,1.27026576481929e-73,"Epithelial_C2","UBE2T",0.377
"LMNB1",3.57098945155712e-64,0.533662841376162,0.537,0.182,7.97544784110768e-60,"Epithelial_C2","LMNB1",0.355
"ECT2",2.83099947022723e-62,0.633168477041817,0.577,0.24,6.32275421680551e-58,"Epithelial_C2","ECT2",0.337
"H2AFV",1.08989660803184e-60,0.806092869175187,0.847,0.78,2.43417508437832e-56,"Epithelial_C2","H2AFV",0.0669999999999999
"SMC4",1.30396109661604e-60,0.912991771096964,0.765,0.517,2.91226671318227e-56,"Epithelial_C2","SMC4",0.248
"HIST1H4C",1.22618737028772e-57,1.50499622052972,0.795,0.625,2.7385668728006e-53,"Epithelial_C2","HIST1H4C",0.17
"HMGN2",6.27011749571631e-56,0.904362194250962,0.872,0.851,1.40036804149328e-51,"Epithelial_C2","HMGN2",0.021
"LSM4",1.55424542326027e-54,0.63209905371065,0.844,0.797,3.47125172830948e-50,"Epithelial_C2","LSM4",0.0469999999999999
"RNASEH2A",1.26970832720603e-53,0.575433667786426,0.619,0.307,2.83576657798195e-49,"Epithelial_C2","RNASEH2A",0.312
"HMGB3",1.62780829374458e-53,0.743430242528992,0.737,0.545,3.63554704324914e-49,"Epithelial_C2","HMGB3",0.192
"HIST1H1D",7.29685566772084e-51,0.637500942495449,0.379,0.101,1.62967974482877e-46,"Epithelial_C2","HIST1H1D",0.278
"HNRNPA1",5.3830372718073e-49,0.633652022490614,0.926,0.916,1.20224754428544e-44,"Epithelial_C2","HNRNPA1",0.01
"DEK",2.87919536637849e-48,0.601669845879598,0.844,0.866,6.43039493126972e-44,"Epithelial_C2","DEK",-0.022
"CKS2",3.80899350164292e-48,0.945864295894624,0.728,0.514,8.5070060865693e-44,"Epithelial_C2","CKS2",0.214
"NUCKS1",6.11087623768856e-47,0.613862643830141,0.893,0.93,1.36480309892536e-42,"Epithelial_C2","NUCKS1",-0.037
"ATAD2",8.69878084019832e-46,0.664172088629455,0.567,0.279,1.94278571284989e-41,"Epithelial_C2","ATAD2",0.288
"AURKA",2.30135801526937e-43,0.577946004898211,0.365,0.112,5.13985299130262e-39,"Epithelial_C2","AURKA",0.253
"H2AFX",2.68510568615748e-39,0.707971794173989,0.719,0.564,5.99691503946412e-35,"Epithelial_C2","H2AFX",0.155
"UBE2S",1.29237618415032e-38,0.998460470107402,0.726,0.587,2.88639296968133e-34,"Epithelial_C2","UBE2S",0.139
"RAN",7.37700584597612e-37,0.510242782764206,0.856,0.913,1.64758048564031e-32,"Epithelial_C2","RAN",-0.0570000000000001
"TUBB",1.1841041082694e-36,0.634965685134818,0.865,0.902,2.64457811540888e-32,"Epithelial_C2","TUBB",-0.037
"SLC25A5",3.07026835688963e-34,0.619433415024628,0.853,0.842,6.85713734827731e-30,"Epithelial_C2","SLC25A5",0.011
"LSM5",3.37257654205484e-34,0.546495965058288,0.76,0.74,7.53231244902529e-30,"Epithelial_C2","LSM5",0.02
"RPL39L",1.04447680647322e-33,0.633456603984603,0.705,0.562,2.33273449957729e-29,"Epithelial_C2","RPL39L",0.143
"TMPO",1.13682488611739e-33,0.542393989423609,0.702,0.526,2.53898470065457e-29,"Epithelial_C2","TMPO",0.176
"ANP32E",1.19457254590677e-32,0.52638241889258,0.707,0.574,2.66795832402819e-28,"Epithelial_C2","ANP32E",0.133
"KPNA2",6.21983681297257e-32,0.835130603137167,0.642,0.462,1.38913835380929e-27,"Epithelial_C2","KPNA2",0.18
"RANBP1",9.94241064348491e-29,0.548496361281881,0.807,0.811,2.22053799311592e-24,"Epithelial_C2","RANBP1",-0.004
"SNRPF",1.05260280304462e-27,0.530054168739039,0.833,0.833,2.35088310031986e-23,"Epithelial_C2","SNRPF",0
"TUBB4B",1.55852838178682e-27,0.600053186301857,0.835,0.84,3.48081728788268e-23,"Epithelial_C2","TUBB4B",-0.005
"NASP",9.05707473390112e-25,0.523816945959388,0.742,0.692,2.02280707106948e-20,"Epithelial_C2","NASP",0.05
"RAD21",5.14861488575525e-23,0.557353060598434,0.786,0.766,1.14989164858458e-18,"Epithelial_C2","RAD21",0.02
"PCNA",6.54963113996949e-22,0.655723044251952,0.605,0.467,1.46279461880079e-17,"Epithelial_C2","PCNA",0.138
"JPT1",2.59908861687864e-20,0.561508278525689,0.765,0.746,5.80480451693676e-16,"Epithelial_C2","JPT1",0.019
"TUBA1C",1.27387838865008e-19,0.567420470955506,0.844,0.875,2.84507999321109e-15,"Epithelial_C2","TUBA1C",-0.031
"DUT",3.51437872969303e-16,0.612612567409844,0.681,0.645,7.84901345489641e-12,"Epithelial_C2","DUT",0.036
"ARL6IP1",7.93481714950257e-14,0.725032129291116,0.698,0.726,1.7721620621699e-09,"Epithelial_C2","ARL6IP1",-0.028
"CENPX",7.86337345877022e-13,0.518213819185879,0.644,0.599,1.75620582828174e-08,"Epithelial_C2","CENPX",0.045
"IGKC",9.84052522313164e-10,0.621152612084604,0.423,0.307,2.19778290333422e-05,"Epithelial_C2","IGKC",0.116
"THBS2",0,2.06238335484981,0.827,0.036,0,"Epithelial_C3","THBS2",0.791
"MME",0,1.70300418984645,0.822,0.016,0,"Epithelial_C3","MME",0.806
"PRRX1",1.16142193964008e-300,1.60351450532177,0.771,0.029,2.59391975999216e-296,"Epithelial_C3","PRRX1",0.742
"TMEM158",2.477096340843e-296,2.88036425652365,0.899,0.093,5.53234696763876e-292,"Epithelial_C3","TMEM158",0.806
"COL6A3",7.6234967844067e-290,2.47330099215189,0.878,0.086,1.70263177182939e-285,"Epithelial_C3","COL6A3",0.792
"FAP",1.06492045150932e-283,1.1458084072704,0.705,0.017,2.37839333640091e-279,"Epithelial_C3","FAP",0.688
"LINC01929",8.01102600535011e-279,1.21389874559948,0.638,0.003,1.78918254803489e-274,"Epithelial_C3","LINC01929",0.635
"DCN",8.04078598023559e-268,3.1164250425199,0.894,0.124,1.79582914082582e-263,"Epithelial_C3","DCN",0.77
"INHBA",2.24621181388226e-259,1.75119020725075,0.753,0.047,5.01668946512464e-255,"Epithelial_C3","INHBA",0.706
"COL8A1",6.49705701684606e-254,1.2053746418114,0.684,0.029,1.4510527141424e-249,"Epithelial_C3","COL8A1",0.655
"MMP2",7.31560909058761e-251,2.56762471382619,0.883,0.143,1.63386813429184e-246,"Epithelial_C3","MMP2",0.74
"TWIST1",3.19427906049382e-249,1.10600950693206,0.636,0.017,7.1341028537069e-245,"Epithelial_C3","TWIST1",0.619
